Elo	Username	W	L	T	Glicko	Rating_Deviation	GXE	Games_Played	Last_update	H2H_Data
2234.6079300703227	PAC-MM-SynRLV2-3	26316	5580	92	1787.8	23.6	75.16	31988	Tue Sep 30 2025 16:09:58 GMT+0000 (Coordinated Universal Time)	{"pacmmlargerlg3":{"w":2516,"l":570,"t":9},"pacmmsmallil3":{"w":2616,"l":305,"t":4},"pacmmsynrlv03":{"w":2246,"l":803,"t":4},"pacbhsswitch3":{"w":1279,"l":75,"t":9},"pacmmbasernn3":{"w":1049,"l":116,"t":2},"pacbhgymleader3":{"w":1333,"l":87,"t":9},"pacbhkaizo3":{"w":1288,"l":115,"t":3},"pacmmsmallrlg93":{"w":2231,"l":609,"t":4},"pacmmabrag3":{"w":2222,"l":770,"t":8},"pacmmsilfa3":{"w":2544,"l":467,"t":13},"pacbhg1boss3":{"w":1280,"l":34,"t":2},"pacmmsynrlv1sp3":{"w":2129,"l":799,"t":10},"pacmmsynrlv13":{"w":2256,"l":709,"t":2},"pacbhpokeenv3":{"w":1327,"l":121,"t":13}}
2094.7458267212173	PAC-MM-SynRLV1-SP3	19212	11958	107	1634.5	23	62.65	31277	Tue Sep 30 2025 16:09:38 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv03":{"w":1493,"l":1539,"t":5},"pacmmsynrlv13":{"w":1651,"l":1398,"t":6},"pacmmsmallil3":{"w":2084,"l":761,"t":11},"pacbhgymleader3":{"w":1239,"l":194,"t":11},"pacmmabrag3":{"w":1430,"l":1469,"t":6},"pacmmsmallrlg93":{"w":1488,"l":1170,"t":9},"pacbhpokeenv3":{"w":1153,"l":232,"t":13},"pacmmbasernn3":{"w":830,"l":339,"t":3},"pacbhg1boss3":{"w":1256,"l":74,"t":3},"pacmmsilfa3":{"w":1877,"l":1007,"t":13},"pacmmsynrlv23":{"w":799,"l":2129,"t":10},"pacmmlargerlg3":{"w":1666,"l":1168,"t":8},"pacbhkaizo3":{"w":1057,"l":255,"t":3},"pacbhsswitch3":{"w":1189,"l":223,"t":6}}
2064.664341379454	PAC-MM-Abra-g3	19904	11918	97	1641.4	23	63.27	31919	Tue Sep 30 2025 16:10:06 GMT+0000 (Coordinated Universal Time)	{"pacmmsilfa3":{"w":1821,"l":1052,"t":14},"pacbhg1boss3":{"w":1224,"l":69,"t":3},"pacmmbasernn3":{"w":823,"l":323,"t":3},"pacmmsynrlv03":{"w":1480,"l":1548,"t":7},"pacmmsmallrlg93":{"w":1844,"l":1372,"t":7},"pacmmsynrlv13":{"w":1551,"l":1206,"t":4},"pacbhkaizo3":{"w":1139,"l":191,"t":4},"pacbhpokeenv3":{"w":1289,"l":177,"t":5},"pacbhgymleader3":{"w":1270,"l":147,"t":6},"pacbhsswitch3":{"w":1285,"l":192,"t":7},"pacmmsynrlv1sp3":{"w":1469,"l":1430,"t":6},"pacmmsynrlv23":{"w":770,"l":2222,"t":8},"pacmmlargerlg3":{"w":1674,"l":1161,"t":11},"pacmmsmallil3":{"w":2265,"l":828,"t":12}}
2042.5484536436347	PAC-MM-SynRLV0-3	19900	11904	103	1626.8	23	61.96	31907	Tue Sep 30 2025 16:09:38 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv1sp3":{"w":1539,"l":1493,"t":5},"pacmmlargerlg3":{"w":1834,"l":1188,"t":8},"pacmmsynrlv23":{"w":803,"l":2246,"t":4},"pacmmsmallil3":{"w":2226,"l":731,"t":10},"pacbhgymleader3":{"w":1288,"l":171,"t":8},"pacbhkaizo3":{"w":1137,"l":213,"t":4},"pacmmabrag3":{"w":1548,"l":1480,"t":7},"pacmmsynrlv13":{"w":1706,"l":1459,"t":13},"pacmmsmallrlg93":{"w":1670,"l":1122,"t":5},"pacbhpokeenv3":{"w":1227,"l":203,"t":7},"pacmmbasernn3":{"w":821,"l":354,"t":5},"pacmmsilfa3":{"w":1679,"l":925,"t":14},"pacbhg1boss3":{"w":1233,"l":97,"t":1},"pacbhsswitch3":{"w":1189,"l":222,"t":12}}
2022.660779955459	PAC-MM-SynRLV1-3	18416	13146	107	1590	23	58.57	31669	Tue Sep 30 2025 16:09:44 GMT+0000 (Coordinated Universal Time)	{"pacmmsmallrlg93":{"w":1487,"l":1373,"t":6},"pacmmsynrlv1sp3":{"w":1398,"l":1651,"t":6},"pacbhgymleader3":{"w":1188,"l":201,"t":11},"pacmmsynrlv03":{"w":1459,"l":1706,"t":13},"pacmmabrag3":{"w":1206,"l":1551,"t":4},"pacbhg1boss3":{"w":1235,"l":98,"t":8},"pacmmbasernn3":{"w":816,"l":307,"t":5},"pacmmlargerlg3":{"w":1688,"l":1320,"t":11},"pacbhsswitch3":{"w":1149,"l":237,"t":9},"pacmmsilfa3":{"w":1768,"l":1105,"t":14},"pacbhkaizo3":{"w":1118,"l":268,"t":3},"pacbhpokeenv3":{"w":1206,"l":273,"t":8},"pacmmsmallil3":{"w":1989,"l":800,"t":7},"pacmmsynrlv23":{"w":709,"l":2256,"t":2}}
2017.4391227230296	PAC-MM-SmallRLG9-3	17879	14013	89	1595	23	59.04	31981	Tue Sep 30 2025 16:09:27 GMT+0000 (Coordinated Universal Time)	{"pacmmsmallil3":{"w":2131,"l":948,"t":16},"pacmmsynrlv13":{"w":1373,"l":1487,"t":6},"pacbhkaizo3":{"w":1083,"l":319,"t":1},"pacbhsswitch3":{"w":1225,"l":264,"t":5},"pacmmlargerlg3":{"w":1559,"l":1414,"t":3},"pacmmabrag3":{"w":1372,"l":1844,"t":7},"pacbhpokeenv3":{"w":1197,"l":258,"t":8},"pacmmsynrlv03":{"w":1122,"l":1670,"t":5},"pacmmsynrlv23":{"w":609,"l":2231,"t":4},"pacmmsynrlv1sp3":{"w":1170,"l":1488,"t":9},"pacmmsilfa3":{"w":1833,"l":1316,"t":11},"pacbhg1boss3":{"w":1237,"l":81,"t":5},"pacbhgymleader3":{"w":1139,"l":244,"t":6},"pacmmbasernn3":{"w":829,"l":449,"t":3}}
1980.0062269431191	PAC-MM-SILFA-3	15200	16253	176	1532.8	23	53.15	31629	Tue Sep 30 2025 16:09:37 GMT+0000 (Coordinated Universal Time)	{"pacmmabrag3":{"w":1052,"l":1821,"t":14},"pacbhsswitch3":{"w":1073,"l":320,"t":14},"pacbhpokeenv3":{"w":1133,"l":346,"t":16},"pacbhg1boss3":{"w":1137,"l":178,"t":9},"pacbhkaizo3":{"w":1074,"l":391,"t":3},"pacmmsmallil3":{"w":1819,"l":1244,"t":20},"pacmmsynrlv23":{"w":467,"l":2544,"t":13},"pacmmbasernn3":{"w":690,"l":481,"t":8},"pacmmsynrlv13":{"w":1105,"l":1768,"t":14},"pacmmsmallrlg93":{"w":1316,"l":1833,"t":11},"pacmmlargerlg3":{"w":1210,"l":1511,"t":12},"pacmmsynrlv1sp3":{"w":1007,"l":1877,"t":13},"pacbhgymleader3":{"w":1192,"l":260,"t":15},"pacmmsynrlv03":{"w":925,"l":1679,"t":14}}
1971.5266257789162	PAC-MM-LargeRL-g3	16718	14743	122	1547.2	23	54.53	31583	Tue Sep 30 2025 16:09:34 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv23":{"w":570,"l":2516,"t":9},"pacmmsynrlv03":{"w":1188,"l":1834,"t":8},"pacbhsswitch3":{"w":1180,"l":268,"t":9},"pacbhgymleader3":{"w":1209,"l":239,"t":12},"pacmmsmallrlg93":{"w":1414,"l":1559,"t":3},"pacmmbasernn3":{"w":746,"l":412,"t":8},"pacbhg1boss3":{"w":1133,"l":119,"t":3},"pacmmsynrlv13":{"w":1320,"l":1688,"t":11},"pacmmsilfa3":{"w":1511,"l":1210,"t":12},"pacmmabrag3":{"w":1161,"l":1674,"t":11},"pacmmsynrlv1sp3":{"w":1168,"l":1666,"t":8},"pacbhkaizo3":{"w":1012,"l":318,"t":6},"pacbhpokeenv3":{"w":1178,"l":268,"t":14},"pacmmsmallil3":{"w":1928,"l":972,"t":8}}
1929.7984775331881	PAC-MM-BaseRNN-3	8029	8852	201	1454.8	23	45.66	17082	Tue Sep 30 2025 16:09:13 GMT+0000 (Coordinated Universal Time)	{"pacbhpokeenv3":{"w":944,"l":358,"t":37},"pacbhgymleader3":{"w":1005,"l":391,"t":42},"pacmmsynrlv23":{"w":116,"l":1049,"t":2},"pacmmabrag3":{"w":323,"l":823,"t":3},"pacbhsswitch3":{"w":896,"l":362,"t":34},"pacmmlargerlg3":{"w":412,"l":746,"t":8},"pacmmsynrlv13":{"w":307,"l":816,"t":5},"pacbhkaizo3":{"w":831,"l":411,"t":23},"pacbhg1boss3":{"w":957,"l":204,"t":26},"pacmmsilfa3":{"w":481,"l":690,"t":8},"pacmmsynrlv1sp3":{"w":339,"l":830,"t":3},"pacmmsynrlv03":{"w":354,"l":821,"t":5},"pacmmsmallrlg93":{"w":449,"l":829,"t":3},"pacmmsmallil3":{"w":615,"l":522,"t":2}}
1927.5943682827522	PAC-MM-SmallIL-3	12002	19766	162	1461.6	23	46.31	31930	Tue Sep 30 2025 16:09:21 GMT+0000 (Coordinated Universal Time)	{"pacmmsmallrlg93":{"w":948,"l":2131,"t":16},"pacmmsynrlv23":{"w":305,"l":2616,"t":4},"pacbhpokeenv3":{"w":963,"l":451,"t":19},"pacmmsynrlv03":{"w":731,"l":2226,"t":10},"pacmmsynrlv1sp3":{"w":761,"l":2084,"t":11},"pacmmsilfa3":{"w":1244,"l":1819,"t":20},"pacbhsswitch3":{"w":963,"l":452,"t":17},"pacbhkaizo3":{"w":839,"l":468,"t":4},"pacbhg1boss3":{"w":1077,"l":293,"t":6},"pacmmsynrlv13":{"w":800,"l":1989,"t":7},"pacbhgymleader3":{"w":1049,"l":429,"t":26},"pacmmbasernn3":{"w":522,"l":615,"t":2},"pacmmabrag3":{"w":828,"l":2265,"t":12},"pacmmlargerlg3":{"w":972,"l":1928,"t":8}}
